index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
3005,"$9,750",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Triangle Community Foundation,"Durham, NC United States",Carolina Public Press Inc,"Asheville, NC United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3006,"$9,700",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Ethics and accountability,Cash grants,Vanguard Charitable,"Malvern, PA United States",Center for Public Integrity,"Washington, DC United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3007,"$9,670",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Vanguard Charitable,"Malvern, PA United States","WMHT Educational Telecommunications, Inc.","Troy, NY United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3008,"$9,640",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,General support,Cash grants,Walter Henry Freygang Foundation,"Akron, OH United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3009,"$9,550",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,"Policy, advocacy and systems reform",Cash grants,Reeves Family Foundation,"Marblehead, MA United States",National Review Institute,"New York City, NY United States",DONATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3010,"$9,521",2021,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Families,General support,Cash grants,America's Charities,"Chantilly, VA United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3011,"$9,500",2021,,1 year,,"Media applications and tools; Geographic Information Systems; Journalism, news and information; Advocacy journalism",Activists; Adults,Online media; Public engagement and education,Cash grants,Foundation for Pennsylvania Watersheds,"Johnstown, PA United States",FRACTRACKER ALLIANCE,"Camp Hill, PA United States",WATER AT RISK,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3012,"$9,452",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Not Specified,Program support; Public engagement and education,Cash grants,BONNEVILLE ENVIRONMENTAL FOUNDATION,"Portland, OR United States",Mckenzie Watershed Alliance,"Springfield, OR United States",MEDIA/PLANTING/ENGAGEMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3013,"$9,404",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Citizen journalism",Not Specified,General support,Cash grants,Mightycause Charitable Foundation,"Marianna, FL United States",Uptake Institute,"St Paul, MN United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3014,"$9,400",2021,Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adolescents; Ethnic and racial groups; Students,Program support; Equal access,Cash grants,The John Ben Snow Foundation Inc,"Manlius, NY United States",Syracuse Press Club Inc,"Syracuse, NY United States",Syracuse Journalism Lab,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3015,"$9,375",2021,,1 year,,"Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,Not Specified,Cash grants,Susan & John Turben Foundation,"Beachwood, OH United States",Ideastream,"Cleveland, OH United States",CHARITABLE PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3016,"$9,250",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Capital and infrastructure; Online media,Cash grants,Saint Paul & Minnesota Foundation,"St Paul, MN United States",Minnesota Public Radio | American Public Media,"St Paul, MN United States",For support of the Digital and On-air Early Risers Podcast.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3017,"$9,124",2021,,1 year,,"Media access and policy; Media justice; Journalism, news and information; Citizen journalism",Victims of crime and abuse,General support,Cash grants,American Online Giving Foundation Inc,"Newark, DE United States","Witness, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3018,"$9,030",2021,,1 year,,"Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,"Network for Good, Inc.","Washington, DC United States",Democracy Now Productions Inc,"New York City, NY United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3019,"$9,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",PHILADELPHIA CITIZEN,"Philadelphia, PA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3020,"$9,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Immigrants and migrants; Victims and oppressed people,Equal access; Advocacy; Program support,Cash grants,International Womens Media Foundation,"Washington, DC United States",Amnesty International of the USA Inc,"New York City, NY United States",SUPPORT FOR THREE KENYAN JOURNALISTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3021,"$9,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,General support,Cash grants,Kaufman Family Foundation 16115009633,"Newport, VT United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3022,"$9,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Lithuanian Center Inc,"Cleveland, OH United States",Lithuanian Research and Studies Center Inc,"Chicago, IL United States",SUPPORT LITHUANIAN NEWSPAPERS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3023,"$9,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Scholarships,Cash grants,Nakadar Foundation,"Bloomfield Hills, MI United States",Tmo Foundation,"Farmington Hills, MI United States",PROVIDE SCHOLARSHIPS TO JOURNALISM STUDENTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3024,"$9,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Saint Paul & Minnesota Foundation,"St Paul, MN United States",MinnPost,"Minneapolis, MN United States",For general support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3025,"$9,000",2021,Voter Education & Registration,1 year,,"Journalism, news and information; Journalism, news, and information, general",Age groups; Ethnic and racial groups,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",CalMatters,"Sacramento, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3026,"$9,000",2021,Higher Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support,Cash grants,WICHITA FOUNDATION,"Wichita, KS United States",Wichita State University Foundation,"Wichita, KS United States",Collaborative Journalism Support Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3027,"$9,000",2021,Higher Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support,Cash grants,WICHITA FOUNDATION,"Wichita, KS United States",Wichita State University Foundation,"Wichita, KS United States",Collaborative Journalism Support Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3028,"$9,000",2021,Higher Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support,Cash grants,WICHITA FOUNDATION,"Wichita, KS United States",Wichita State University Foundation,"Wichita, KS United States",Collaborative Journalism Support Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3029,"$8,958",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Ge Aerospace Foundation.,"Boston, MA United States","WMHT Educational Telecommunications, Inc.","Troy, NY United States",MATCHING GIFTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3030,"$8,850",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Fund for Investigative Journalism Inc,"Washington, DC United States",CONNECTICUT NEWS PROJECT INC,"Hartford, CT United States",Investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3031,"$8,550",2021,,1 year,,"Journalism, news and information; Investigative journalism",Children and youth; Families,General support,Cash grants,Eric Oppenheimer Family Foundation,"Agoura Hills, CA United States",Searchlight New Mexico News,"Santa Fe, NM United States",OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3032,"$8,550",2021,,1 year,,"Media access and policy; Media justice; Journalism, news and information; Investigative journalism",Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Futuro Media Group,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3033,"$8,520",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Advocacy; Outreach,Cash grants,Vegfund Inc,"Washington, DC United States",Beyond Carnism Inc,"Orlando, FL United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3034,"$8,507",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Advocacy; Outreach,Cash grants,Vegfund Inc,"Washington, DC United States",Vegan Justice,"San Diego, CA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
